group,cat_code,cat,type,potential_points,awarded_points,building_code,building_name,leed_version,points_earned,cat_and_cat_name
SS,SS,Sustainable sites,cat,14,9,6,Tucker Hall,2.2,9/14,SS(14)v2.2
WE,WE,Water Efficiency,cat,5,4,6,Tucker Hall,2.2,4/5,WE(5)v2.2
EA,EA,Energy and atmosphere,cat,17,6,6,Tucker Hall,2.2,6/17,EA(17)v2.2
MR,MR,Material and Resources,cat,13,5,6,Tucker Hall,2.2,5/13,MR(13)v2.2
EQ,EQ,Indoor Environmental Quality,cat,15,11,6,Tucker Hall,2.2,11/15,EQ(15)v2.2
ID,ID,Innovation,cat,6,5,6,Tucker Hall,2.2,5/6,ID(6)v2.2
TO,TO,Total,cat,69,40,6,Tucker Hall,2.2,40/69,TO(69)v2.2
SS,SS,Sustainable sites,cat,14,10,5,School of Education,2.2,10/14,SS(14)v2.2
WE,WE,Water Efficiency,cat,5,2,5,School of Education,2.2,2/5,WE(5)v2.2
EA,EA,Energy and atmosphere,cat,17,4,5,School of Education,2.2,4/17,EA(17)v2.2
MR,MR,Material and Resources,cat,13,7,5,School of Education,2.2,7/13,MR(13)v2.2
EQ,EQ,Indoor Environmental Quality,cat,15,11,5,School of Education,2.2,11/15,EQ(15)v2.2
ID,ID,Innovation,cat,6,5,5,School of Education,2.2,5/6,ID(6)v2.2
TO,TO,Total,cat,69,39,5,School of Education,2.2,39/69,TO(69)v2.2
SS,SS,Sustainable sites,cat,14,10,4,Miller Hall (Mason School of Business,2.2,10/14,SS(14)v2.2
WE,WE,Water Efficiency,cat,5,4,4,Miller Hall (Mason School of Business,2.2,4/5,WE(5)v2.2
EA,EA,Energy and atmosphere,cat,17,6,4,Miller Hall (Mason School of Business,2.2,6/17,EA(17)v2.2
MR,MR,Material and Resources,cat,13,7,4,Miller Hall (Mason School of Business,2.2,7/13,MR(13)v2.2
EQ,EQ,Indoor Environmental Quality,cat,15,11,4,Miller Hall (Mason School of Business,2.2,11/15,EQ(15)v2.2
ID,ID,Innovation,cat,6,4,4,Miller Hall (Mason School of Business,2.2,4/6,ID(6)v2.2
TO,TO,Total,cat,69,42,4,Miller Hall (Mason School of Business,2.2,42/69,TO(69)v2.2
SS,SS,Sustainable sites,cat,14,9,3,Cohen Career Center,2.2,9/14,SS(14)v2.2
WE,WE,Water Efficiency,cat,5,4,3,Cohen Career Center,2.2,4/5,WE(5)v2.2
EA,EA,Energy and atmosphere,cat,17,9,3,Cohen Career Center,2.2,9/17,EA(17)v2.2
MR,MR,Material and Resources,cat,13,0,3,Cohen Career Center,2.2,0/13,MR(13)v2.2
EQ,EQ,Indoor Environmental Quality,cat,15,13,3,Cohen Career Center,2.2,13/15,EQ(15)v2.2
ID,ID,Innovation,cat,6,2,3,Cohen Career Center,2.2,2/6,ID(6)v2.2
TO,TO,Total,cat,69,42,3,Cohen Career Center,2.2,42/69,TO(69)v2.2
SS,SS,Sustainable sites,cat,26,18,15,Greek Fraternity Community Building,3,18/26,SS(26)v3
WE,WE,Water efficiency,cat,10,6,15,Greek Fraternity Community Building,3,6/10,WE(10)v3
EA,EA,Energy and Atmosphere,cat,53,5,15,Greek Fraternity Community Building,3,5/53,EA(53)v3
MR,MR,Material and Resources,cat,14,5,15,Greek Fraternity Community Building,3,5/14,MR(14)v3
EQ,EQ,Indoor Environmental Quality,cat,15,9,15,Greek Fraternity Community Building,3,9/15,EQ(15)v3
ID,ID,Innovation,cat,6,5,15,Greek Fraternity Community Building,3,5/6,ID(6)v3
RP,RP,Regional Priority Credits,cat,4,2,15,Greek Fraternity Community Building,3,2/4,RP(4)v3
TO,TO,Total,cat,110,50,15,Greek Fraternity Community Building,3,50/110,TO(110)v3
SS,SS,Sustainable sites,cat,26,19,14,West Utility Plant,3,19/26,SS(26)v3
WE,WE,Water efficiency,cat,10,6,14,West Utility Plant,3,6/10,WE(10)v3
EA,EA,Energy and Atmosphere,cat,53,19,14,West Utility Plant,3,19/53,EA(53)v3
MR,MR,Material and Resources,cat,14,6,14,West Utility Plant,3,6/14,MR(14)v3
EQ,EQ,Indoor Environmental Quality,cat,15,13,14,West Utility Plant,3,13/15,EQ(15)v3
ID,ID,Innovation,cat,6,4,14,West Utility Plant,3,4/6,ID(6)v3
RP,RP,Regional Priority Credits,cat,4,2,14,West Utility Plant,3,2/4,RP(4)v3
TO,TO,Total,cat,110,69,14,West Utility Plant,3,69/110,TO(110)v3
SS,SS,Sustainable sites,cat,26,17,12,Music Arts Center,3,17/26,SS(26)v3
WE,WE,Water efficiency,cat,10,7,12,Music Arts Center,3,7/10,WE(10)v3
EA,EA,Energy and Atmosphere,cat,53,12,12,Music Arts Center,3,12/53,EA(53)v3
MR,MR,Material and Resources,cat,14,4,12,Music Arts Center,3,4/14,MR(14)v3
EQ,EQ,Indoor Environmental Quality,cat,15,8,12,Music Arts Center,3,8/15,EQ(15)v3
