building_name,leed_version,EA(17)v2.2,EA(53)v3,EA(89)v4,EQ(15)v2.2,EQ(15)v3,EQ(16)v4,ID(6)v2.2,ID(6)v3,ID(6)v4,IP(1)v4,LT(20)v4,MR(13)v2.2,MR(13)v4,MR(14)v3,RP(4)v3,RP(4)v4,SS(10)v4,SS(14)v2.2,SS(26)v3,TO(110)v3,TO(110)v4,TO(69)v2.2,WE(10)v3,WE(11)v4,WE(5)v2.2
Alumni House Addition,4.0,,,16,,,10,,,5,0,6,,8,,,1,1,,,,52,,,5,
Campus Living Center,4.0,,,16,,,9,,,6,0,4,,7,,,3,2,,,,50,,,3,
Chancellors Hall,3.0,,10,,,10,,,4,,,,,,6,3,,,,22,63,,,8,,
Cohen Career Center,2.2,9,,,13,,,2,,,,,0,,,,,,9,,,,42,,,4
Greek Fraternity Community Building,3.0,,5,,,9,,,5,,,,,,5,2,,,,18,50,,,6,,
ISC 3,3.0,,15,,,11,,,4,,,,,,7,2,,,,20,63,,,4,,
Landrum Hall,3.0,,9,,,10,,,5,,,,,,6,3,,,,15,56,,,8,,
Marshall Wythe School of Law Addition,3.0,,17,,,9,,,2,,,,,,4,2,,,,15,53,,,4,,
McLeod Tyler Wellness Center,3.0,,13,,,10,,,6,,,,,,6,2,,,,19,60,,,4,,
Miller Hall (Mason School of Business,2.2,6,,,11,,,4,,,,,7,,,,,,10,,,,42,,,4
Music Arts Center,3.0,,12,,,8,,,3,,,,,,4,2,,,,17,53,,,7,,
PBK Memorial Hall,3.0,,12,,,8,,,3,,,,,,4,2,,,,17,53,,,7,,
Sadler West Expansion,4.0,,,24,,,6,,,5,0,4,,9,,,3,1,,,,55,,,3,
School of Education,2.2,4,,,11,,,5,,,,,7,,,,,,10,,,,39,,,2
Tucker Hall,2.2,6,,,11,,,5,,,,,5,,,,,,9,,,,40,,,4
West Utility Plant,3.0,,19,,,13,,,4,,,,,,6,2,,,,19,69,,,6,,
