group,cat_code,cat,type,potential_points,awarded_points,building_code
SS,SS,Sustainable sites,cat,14,9,6
SS,SSp1,Construction activity pollution prevention,prereq,0,0,6
SS,SSc1,Site selection,cred,1,1,6
SS,SSc2,Development density and community connectivity ,cred,1,1,6
SS,SSc3,Brownfield redevelopment,cred,1,1,6
SS,SSc4.1,Alternative transportation - public transportation access,cred,1,1,6
SS,SSc4.2,Alternative transportation - bicycle storage and changing rooms,cred,1,0,6
SS,SSc4.3,Alternative transportation - low emitting and fuel efficient vehicles,cred,1,0,6
SS,SSc4.4,Alternative transportation - parking capacity,cred,1,1,6
SS,SSc5.1,Site development - protect or restore habitat,cred,1,0,6
SS,SSc5.2,Site development - maximize open space,cred,1,1,6
SS,SSc6.1,Stormwater design - quantity control,cred,1,1,6
SS,SSc6.2,Stormwater design - quality control,cred,1,1,6
SS,SSc7.1,Heat island effect - non-roof,cred,1,1,6
SS,SSc7.2,Heat island effect - roof,cred,1,0,6
SS,SSc8,Light pollution reduction,cred,1,0,6
WE,WE,Water Efficiency,cat,5,4,6
WE,WEc1.1,Water efficient landscaping - reduce by 50%,cred,1,1,6
WE,WEc1.2,Water efficient landscaping - no potable water use or no irrigation,cred,1,1,6
WE,WEc2,Innovative wastewater technologies,cred,1,0,6
WE,WEc3.1,Water use reduction - 20% reduction,cred,1,1,6
WE,WEc3.2,Water use reduction - 30% reduction,cred,1,1,6
EA,EA,Energy and atmosphere,cat,17,6,6
EA,EAp1,Fundamental commissioning of the building energy systems,prereq,0,0,6
EA,EAp2,Minimum energy performance,prereq,0,0,6
EA,EAp3,Fundamental refrigerant Mgmt,prereq,0,0,6
EA,EAc1,Optimize energy performance,cred,10,4,6
EA,EAc2,On-site renewable energy,cred,3,0,6
EA,EAc3,Enhanced commissioning,cred,1,1,6
EA,EAc4,Enhaned refrigerant Mgmt,cred,1,1,6
EA,EAc5,Measurement and verification,cred,1,0,6
EA,EAc6,Green power,cred,1,0,6
MR,MR,Material and Resources,cat,13,5,6
MR,MRp1,Storage and collection of recyclables,prereq,0,0,6
MR,MRc1.1,"Bulding reuse - maintain 75% of existing walls, floors, and roof",cred,1,1,6
MR,MRc1.2,"Building reuse - maintain 95% of existing walls, floors, and roof",cred,1,0,6
MR,MRc1.3,Building reuse - maintain 50% of interior non-structural elements,cred,1,0,6
MR,MRc2.1,Construction waste Mgmt - divert 50% from disposal,cred,1,1,6
MR,MRc2.2,Construction waste Mgmt - divert 75% from disposal,cred,1,1,6
MR,MRc3.1,Materials reuse - 5%,cred,1,0,6
